eleccion_id,ambito,distrito,electores,mesas,votantes,fuente_id
2019-PASO,PAIS,Total pais,33848339,100351,25859967,CONTROL_2019_pv_definitivos_total_pais_paso_y_generales_1_TOTAL_PAIS_PASO
2019-GENERAL,PAIS,Total pais,34231721,100364,27529896,CONTROL_2019_pv_definitivos_total_pais_paso_y_generales_1_TOTAL_PAIS_GENERALES
2019-GENERAL,PAIS,Total pais,34231721,100364,27529896,CONTROL_p.v._definitivo_x_distrito_grales_2019_TOTAL_PAIS
2019-GENERAL,PROVINCIA,Santa Fe,2769007,8179,2199500,CONTROL_p.v._definitivo_x_distrito_grales_2019_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,2235568,,1740400,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,2330010,,1793007,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2011-PASO,PAIS,Total pais,28861216,,22705378,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_NACIONALES
2011-PASO,PROVINCIA,Santa Fe,2440284,,1844271,CONTROL_resultados_2011_eleccion_paso_presidente_y_vicepresidente_SANTA_FE
2011-GENERAL,PAIS,Total pais,28916183,,22956385,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_NACIONALES
2011-GENERAL,PROVINCIA,Santa Fe,2443309,,1854207,CONTROL_resultados_2011_generales_presidente_y_vicepresidente_SANTA_FE
2015-PASO,PAIS,Total pais,32067641,,24021816,CONTROL_resultados_2015_elecciones_paso_presidente_y_vicepresidente_NACIONAL
2015-PASO,PROVINCIA,Santa Fe,2687061,,1805363,CONTROL_resultados_2015_elecciones_paso_presidente_y_vicepresidente_SANTA_FE
2015-GENERAL,PAIS,Total pais,32130853,,26048446,CONTROL_resultados_2015_nacionales_presidente_y_vicepresidente_NACIONAL
2015-GENERAL,PROVINCIA,Santa Fe,2689407,,2094221,CONTROL_resultados_2015_nacionales_presidente_y_vicepresidente_SANTA_FE
2015-BALLOTAGE,PAIS,Total pais,32108509,,25935243,CONTROL_resultados_2015_segunda_vuelta_presidente_y_vicepresidente_NACIONAL
2015-BALLOTAGE,PROVINCIA,Santa Fe,2687061,,2112592,CONTROL_resultados_2015_segunda_vuelta_presidente_y_vicepresidente_SANTA_FE
