anio,agrupacion_id_dine,agrupacion_key,nombre_fuente,color,distrito_id
2023,13,MOVIMIENTO_AL_SOCIALISMO,MOVIMIENTO AL SOCIALISMO,#E7635F,21
2023,20,UNION_DEL_CENTRO_DEMOCRATICO,UNION DEL CENTRO DEMOCRATICO,#0170C1,21
2023,36,AUTONOMISTA,AUTONOMISTA,#7E7668,21
2023,40,MOVIMIENTO_LIBRES_DEL_SUR,MOVIMIENTO LIBRES DEL SUR,#395A94,21
2023,57,MOVIMIENTO_DE_ACCION_VECINAL,MOVIMIENTO DE ACCION VECINAL,#8DB98C,21
2023,77,FE,FE,#064EAA,21
2023,88,ENCUENTRO_REPUBLICANO_FEDERAL,ENCUENTRO REPUBLICANO FEDERAL,#393F4C,21
2023,90,MOVIMIENTO_IZQUIERDA_JUVENTUD_Y_DIGNIDAD,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,#DEC930,21
2023,92,POLITICA_OBRERA,POLITICA OBRERA,#D14124,21
2023,94,PROYECTO_JOVEN,PROYECTO JOVEN,#A31313,21
2023,95,FRENTE_PATRIOTA_FEDERAL,FRENTE PATRIOTA FEDERAL,#003DA5,21
2023,131,FRENTE_LIBER_AR,FRENTE LIBER.AR,#003DA5,21
2023,132,JUNTOS_POR_EL_CAMBIO,JUNTOS POR EL CAMBIO,#FEDD00,21
2023,133,HACEMOS_POR_NUESTRO_PAIS,HACEMOS POR NUESTRO PAIS,#43488F,21
2023,134,UNION_POR_LA_PATRIA,UNION POR LA PATRIA,#009CDE,21
2023,135,LA_LIBERTAD_AVANZA,LA LIBERTAD AVANZA,#753BBD,21
2023,136,FRENTE_DE_IZQUIERDA_Y_DE_TRABAJADORES_UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,#F95461,21
2023,137,PRINCIPIOS_Y_VALORES,PRINCIPIOS Y VALORES,#96D5EE,21
2023,198,POLITICA_ABIERTA_PARA_LA_INTEGRIDAD_SOCIAL_PAIS,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL (PAIS),#004F71,21
2023,211,LEALTAD_Y_DIGNIDAD,LEALTAD Y DIGNIDAD,#704822,21
