departamento_id,departamento,codigo_dine,distrito_id,distrito,anio_nomenclador
LA_CAPITAL,La Capital,1,21,Santa Fe,2023
LAS_COLONIAS,Las Colonias,2,21,Santa Fe,2023
SAN_JERONIMO,San Jerónimo,3,21,Santa Fe,2023
GARAY,Garay,4,21,Santa Fe,2023
CASTELLANOS,Castellanos,5,21,Santa Fe,2023
SAN_MARTIN,San Martín,6,21,Santa Fe,2023
SAN_CRISTOBAL,San Cristóbal,7,21,Santa Fe,2023
SAN_JUSTO,San Justo,8,21,Santa Fe,2023
GENERAL_OBLIGADO,General Obligado,9,21,Santa Fe,2023
VERA,Vera,10,21,Santa Fe,2023
SAN_JAVIER,San Javier,11,21,Santa Fe,2023
9_DE_JULIO,9 de Julio,12,21,Santa Fe,2023
ROSARIO,Rosario,13,21,Santa Fe,2023
CASEROS,Caseros,14,21,Santa Fe,2023
CONSTITUCION,Constitución,15,21,Santa Fe,2023
GENERAL_LOPEZ,General López,16,21,Santa Fe,2023
BELGRANO,Belgrano,17,21,Santa Fe,2023
IRIONDO,Iriondo,18,21,Santa Fe,2023
SAN_LORENZO,San Lorenzo,19,21,Santa Fe,2023
