formula,agrupacion,tipo_registro,votos,pct
Menem-Romero,ALIANZA FRENTE POR LA LEALTAD - UNION DE CENTRO DEMOCRATICO,agrupacion,425886,25.26
Carrió-Gutiérrez,ALIANZA AFIRMACION PARA UNA REPUBLICA IGUALITARIA,agrupacion,424085,25.16
López Murphy-Gómez Diez,ALIANZA MOVIMIENTO FEDERAL PARA RECREAR EL CRECIMIENTO,agrupacion,292124,17.33
Kirchner-Scioli,ALIANZA FRENTE PARA LA VICTORIA,agrupacion,271591,16.11
Rodríguez Saa-Posse,ALIANZA FRENTE MOVIMIENTO POPULAR - UNION Y LIBERTAD,agrupacion,144154,8.55
Moreau-Losada,UNION CIVICA RADICAL,agrupacion,27074,1.61
Bravo-Giustiniani,SOCIALISTA,agrupacion,26894,1.60
Walsh-Parrilli,ALIANZA IZQUIERDA UNIDA,agrupacion,24187,1.43
Altamira-Salas,OBRERO,agrupacion,8984,0.53
Venturino-Pinto Kramer,CONFEDERACION PARA QUE SE VAYAN TODOS,agrupacion,8100,0.48
Sullings-Ambrosio,HUMANISTA,agrupacion,5669,0.34
Herrera-Cuneo,DEMOCRATA CRISTIANO,agrupacion,4774,0.28
Zaffore-Perié,MOVIMIENTO DE INTEGRACION Y DESARROLLO,agrupacion,4755,0.28
Arcagni-Zenof,ALIANZA TIEMPOS DE CAMBIO - UNION POPULAR,agrupacion,4531,0.27
Mazzitelli-Camps,SOCIALISTA AUTENTICO,agrupacion,3949,0.23
Breide Obeid-Vasena,POPULAR DE LA RECONSTRUCCION,agrupacion,3844,0.23
Terán-Bonacci,MOVIMIENTO POR LA DIGNIDAD Y LA INDEPENDENCIA,agrupacion,3453,0.20
Mussa-Suárez,ALIANZA UNIDOS O DOMINADOS,agrupacion,1681,0.10
,VOTOS POSITIVOS,positivo,1685735,96.86
,VOTOS EN BLANCO,blancos,23613,1.36
,VOTOS NULOS,nulos,31052,1.78
,TOTAL DE VOTANTES,total,1740400,
,ELECTORES INSCRIPTOS,inscriptos,2235568,
,PORCENTAJE DE VOTANTES,participacion,77.85,
