anio,instancia,fecha,distrito,seccion,localidad,mesas,electores,recuento_tipo,archivo_origen
2023,PASO,2023-08-13,Santa Fe,Castellanos,Ataliva,6,1761,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,Colonia Aldao,5,1701,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,Frontera,21,7224,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,Humberto Primo,14,4653,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,Josefina,3,734,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,Lehmann,8,2619,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,María Juana,13,4216,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,Ramona,5,1625,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,San Vicente,16,5368,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,Santa Clara de Saguier,6,1811,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,Sunchales,56,19352,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Castellanos,Zenón Pereyra,5,1474,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Las Colonias,Esperanza,101,35401,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Las Colonias,Felicia,6,1981,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Las Colonias,Franck,16,5397,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Las Colonias,Humboldt,13,4481,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Las Colonias,Pilar,13,4437,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Las Colonias,Progreso,7,2222,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Las Colonias,San Carlos Centro,29,10155,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Las Colonias,San Carlos Sud,6,2038,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Las Colonias,San Jerónimo Norte,18,5973,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,Las Colonias,Santa Clara de Buena Vista,8,2568,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,San Martín,Carlos Pellegrini,14,4802,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,San Martín,Cañada Rosquín,13,4519,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,San Martín,El Trébol,31,10522,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,San Martín,María Susana,8,2783,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,San Martín,Piamonte,9,2846,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,San Martín,San Jorge,47,16438,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,San Martín,San Martín de las Escobas,7,2445,PROVISORIO,presentacionDeResultados (1).csv
2023,PASO,2023-08-13,Santa Fe,San Martín,Sastre y Ortiz,14,4895,PROVISORIO,presentacionDeResultados (1).csv
