anio,instancia,agrupacion_id,agrupacion,formula,votos
2011,PASO,,Alianza Frente para la Victoria,FERNÁNDEZ DE KIRCHNER - BOUDOU,676812
2011,PASO,,Alianza Frente Amplio Progresista,BINNER - MORANDINI,585682
2011,PASO,,Alianza Frente Popular,DUHALDE - DAS NEVES,207293
2011,PASO,,Alianza Unión para el Desarrollo Social,ALFONSÍN - GONZÁLEZ FRAGA,116807
2011,PASO,,Alianza Compromiso Federal,RODRÍGUEZ SAÁ - VERNET,97738
2011,PASO,,Coalición Cívica - Afirmación para una República Igualitaria,CARRIÓ - PÉREZ,59151
2011,PASO,,Alianza Frente de Izquierda y de los Trabajadores,ALTAMIRA- CASTILLO,23983
2011,PASO,,Alianza Proyecto Sur,ARGUMEDO - CARDELLI,12573
2011,PASO,,Del Campo Popular,BONACCI - VILLENA,3636
2011,PASO,,Movimiento de Acción Vecinal,PASTORE - RODRÍGUEZ,1867
2015,PASO,131,ALIANZA FRENTE PARA LA VICTORIA,"Scioli, Daniel Osvaldo - Zannini, Carlos Alberto",550970
2015,PASO,135,ALIANZA CAMBIEMOS,"Macri, Mauricio - Michetti, Marta Gabriela",434764
2015,PASO,135,ALIANZA CAMBIEMOS,"Sanz, Ernesto Ricardo - Llach, Lucas",40991
2015,PASO,135,ALIANZA CAMBIEMOS,"Carrió, Elisa María Avelina - Flores, Héctor Antonio",57643
2015,PASO,138,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),"Massa, Sergio Tomás - Ruberto Sáenz, Gustavo Adolfo",227714
2015,PASO,138,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),"de la Sota, José Manuel - Rucci, Claudia Mónica",140979
2015,PASO,132,ALIANZA PROGRESISTAS,"Stolbizer, Margarita Rosa - Olaviaga, Miguel Ángel",102997
2015,PASO,137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"del Caño, Nicolás - Bregman, Myriam Teresa",21064
2015,PASO,137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"Altamira, Jorge - Giordano, Juan Carlos",16057
2015,PASO,133,ALIANZA COMPROMISO FEDERAL,"Rodríguez Saá, Adolfo - Negre De Alonso, Liliana Teresita",47438
2015,PASO,136,ALIANZA FRENTE POPULAR,"De Gennaro, Víctor Norberto - Codoni, Evangelina Soledad",8257
2015,PASO,13,MOVIMIENTO AL SOCIALISMO,"Castañeira, Manuela Jimena - Ayala, Jorge Luis",6324
2015,PASO,134,MST - NUEVA IZQUIERDA,"Bodart, Hugo Alejandro - Ripoll, Vilma Ana",6220
2015,PASO,81,PARTIDO POPULAR,"Yattah, Mauricio Jorge - Moretta, María Belén",4468
2015,PASO,57,MOVIMIENTO DE ACCIÓN VECINAL,"Albarracín, Raúl Humberto - Dib, Gastón",2364
