anio,instancia,fecha,distrito,seccion,localidad,mesas,electores,archivo_origen
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,Ataliva,4,1428,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,Colonia Aldao,4,1305,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,Frontera,15,5992,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,Humberto Primo,10,4039,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,Josefina,3,956,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,Lehmann,6,2089,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,María Juana,10,3850,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,Ramona,4,1456,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,San Vicente,12,4873,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,Santa Clara de Saguier,5,1790,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,Sunchales,24,15093,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Castellanos,Zenón Pereyra,4,1513,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Las Colonias,Esperanza,62,27747,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Las Colonias,Felicia,4,1792,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Las Colonias,Franck,10,3674,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Las Colonias,Humboldt,8,3443,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Las Colonias,Pilar,9,3525,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Las Colonias,Progreso,4,1680,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Las Colonias,San Carlos Centro,20,8538,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Las Colonias,San Carlos Sud,4,1560,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Las Colonias,San Jerónimo Norte,12,5027,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,Las Colonias,Santa Clara de Buena Vista,6,2211,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,San Martín,Carlos Pellegrini,10,3916,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,San Martín,Cañada Rosquín,10,4005,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,San Martín,El Trébol,19,8329,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,San Martín,María Susana,7,2737,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,San Martín,Piamonte,7,2738,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,San Martín,San Jorge,31,13409,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,San Martín,San Martín de las Escobas,6,2009,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,Santa Fe,San Martín,Sastre y Ortiz,11,4556,2007_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Ataliva,5,1490,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Colonia Aldao,5,1404,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Frontera,18,6282,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Humberto Primo,12,4176,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Josefina,4,1100,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Lehmann,7,2285,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,María Juana,12,4030,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Ramona,5,1538,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,San Vicente,15,4953,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Santa Clara de Saguier,6,1811,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Sunchales,48,16488,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Zenón Pereyra,5,1487,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Esperanza,84,29186,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Felicia,6,1852,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Franck,12,4008,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Humboldt,11,3614,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Pilar,11,3726,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Progreso,6,1767,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,San Carlos Centro,26,9033,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,San Carlos Sud,4,1289,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,San Jerónimo Norte,15,5210,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Santa Clara de Buena Vista,7,2275,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,Carlos Pellegrini,12,4135,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,Cañada Rosquín,12,4133,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,El Trébol,26,8953,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,María Susana,8,2787,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,Piamonte,8,2712,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,San Jorge,41,14217,2011_GENERAL_DIST21_santafe_presidente.xlsx
