anio,circuito_id,seccion,localidad
2007,0043,Las Colonias,San Carlos Sud
2007,0044,Las Colonias,San Carlos Centro
2007,0046,Las Colonias,Santa Clara de Buena Vista
2007,0052,Las Colonias,San Jerónimo Norte
2007,0053,Las Colonias,Franck
2007,0055,Las Colonias,Esperanza
2007,0056,Las Colonias,Humboldt
2007,0057,Las Colonias,Pilar
2007,0060,Las Colonias,Felicia
2007,0063,Las Colonias,Progreso
2007,0117,Castellanos,Humberto Primo
2007,0118,Castellanos,Sunchales
2007,0120,Castellanos,Colonia Aldao
2007,0121,Castellanos,Ataliva
2007,0123,Castellanos,Lehmann
2007,0124,Castellanos,Ramona
2007,0130,Castellanos,Santa Clara de Saguier
2007,0134,Castellanos,Josefina
2007,0134A,Castellanos,Frontera
2007,0138,Castellanos,Zenón Pereyra
2007,0140,Castellanos,María Juana
2007,0142,Castellanos,San Vicente
2007,0155,San Martín,Sastre y Ortiz
2007,0156,San Martín,San Martín de las Escobas
2007,0158,San Martín,San Jorge
2007,0160,San Martín,Carlos Pellegrini
2007,0161,San Martín,Cañada Rosquín
2007,0164,San Martín,Piamonte
2007,0165,San Martín,El Trébol
2007,0166,San Martín,María Susana
2011,0043,Las Colonias,San Carlos Sud
2011,0044,Las Colonias,San Carlos Centro
2011,0046,Las Colonias,Santa Clara de Buena Vista
2011,0052,Las Colonias,San Jerónimo Norte
2011,0053,Las Colonias,Franck
2011,0055,Las Colonias,Esperanza
2011,0056,Las Colonias,Humboldt
2011,0057,Las Colonias,Pilar
2011,0060,Las Colonias,Felicia
2011,0063,Las Colonias,Progreso
2011,0117,Castellanos,Humberto Primo
2011,0118,Castellanos,Sunchales
2011,0120,Castellanos,Colonia Aldao
2011,0121,Castellanos,Ataliva
2011,0123,Castellanos,Lehmann
2011,0124,Castellanos,Ramona
2011,0130,Castellanos,Santa Clara de Saguier
2011,0134,Castellanos,Josefina
2011,0134A,Castellanos,Frontera
2011,0138,Castellanos,Zenón Pereyra
2011,0140,Castellanos,María Juana
2011,0142,Castellanos,San Vicente
2011,0155,San Martín,Sastre y Ortiz
2011,0156,San Martín,San Martín de las Escobas
2011,0158,San Martín,San Jorge
2011,0160,San Martín,Carlos Pellegrini
2011,0161,San Martín,Cañada Rosquín
2011,0164,San Martín,Piamonte
2011,0165,San Martín,El Trébol
2011,0166,San Martín,María Susana
2015,0043,Las Colonias,San Carlos Sud
2015,0044,Las Colonias,San Carlos Centro
2015,0046,Las Colonias,Santa Clara de Buena Vista
