circuito_id,seccion_id,seccion,localidad,mesas,electores,anio_referencia
00010,1,La Capital,,12,3927,2023
00020,1,La Capital,,11,3738,2023
00030,1,La Capital,,6,2023,2023
00040,1,La Capital,,10,3345,2023
00050,1,La Capital,,10,3201,2023
00060,1,La Capital,,10,3221,2023
00070,1,La Capital,,37,12632,2023
00080,1,La Capital,,21,7330,2023
00090,1,La Capital,,24,8263,2023
00100,1,La Capital,,26,9104,2023
00110,1,La Capital,,22,7604,2023
00115,1,La Capital,,29,9856,2023
00120,1,La Capital,,25,8416,2023
00130,1,La Capital,,46,16103,2023
00140,1,La Capital,,44,15248,2023
00142,1,La Capital,,27,9125,2023
00150,1,La Capital,,55,19055,2023
00152,1,La Capital,,20,6771,2023
00160,1,La Capital,,66,22887,2023
00161,1,La Capital,,79,27566,2023
00162,1,La Capital,,47,16379,2023
00165,1,La Capital,,41,14288,2023
00170,1,La Capital,,26,8876,2023
00171,1,La Capital,,35,11974,2023
00172,1,La Capital,,21,7091,2023
00175,1,La Capital,,88,30507,2023
00180,1,La Capital,,26,9005,2023
00185,1,La Capital,,21,7300,2023
00190,1,La Capital,,13,4497,2023
00192,1,La Capital,,21,7067,2023
00194,1,La Capital,,19,6592,2023
00196,1,La Capital,,6,2087,2023
00200,1,La Capital,,65,22664,2023
00202,1,La Capital,,72,24977,2023
00204,1,La Capital,,32,10902,2023
00220,1,La Capital,,33,11468,2023
00230,1,La Capital,,41,14135,2023
00240,1,La Capital,,20,6921,2023
00250,1,La Capital,,3,900,2023
00260,1,La Capital,,5,1407,2023
00270,1,La Capital,,33,11303,2023
00280,1,La Capital,,1,336,2023
00290,1,La Capital,,13,4334,2023
00300,1,La Capital,,7,2315,2023
00310,1,La Capital,,3,940,2023
00330,1,La Capital,,40,13779,2023
00370,1,La Capital,,1,122,2023
00390,1,La Capital,,6,1844,2023
00400,1,La Capital,,11,3796,2023
00410,2,Las Colonias,,1,338,2023
00420,2,Las Colonias,,3,777,2023
00430,2,Las Colonias,San Carlos Sud,6,2038,2023
00440,2,Las Colonias,San Carlos Centro,29,10155,2023
00450,2,Las Colonias,,3,951,2023
00460,2,Las Colonias,Santa Clara de Buena Vista,8,2568,2023
00470,2,Las Colonias,,2,362,2023
00480,2,Las Colonias,,5,1403,2023
00490,2,Las Colonias,,3,910,2023
00500,2,Las Colonias,,1,158,2023
00510,2,Las Colonias,,3,791,2023
00520,2,Las Colonias,San Jerónimo Norte,18,5973,2023
00530,2,Las Colonias,Franck,16,5397,2023
00540,2,Las Colonias,,2,476,2023
00550,2,Las Colonias,Esperanza,101,35401,2023
00557,2,Las Colonias,,1,118,2023
