anio,instancia,cargo,distrito_id,distrito,seccion_id,seccion,circuito_id,agrupacion,tipo_registro,votos,electores,mesas,recuento_tipo,fuente,particion_comparable
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0001,CAMBIEMOS,agrupacion,2366,3942,12,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0001,FRENTE PARA LA VICTORIA,agrupacion,716,3942,12,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0001,blancos,blancos,66,3942,12,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0001,nulos,nulos,40,3942,12,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0002,CAMBIEMOS,agrupacion,2265,3852,11,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0002,FRENTE PARA LA VICTORIA,agrupacion,701,3852,11,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0002,blancos,blancos,82,3852,11,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0002,nulos,nulos,39,3852,11,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0003,CAMBIEMOS,agrupacion,1115,1986,6,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0003,FRENTE PARA LA VICTORIA,agrupacion,398,1986,6,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0003,blancos,blancos,23,1986,6,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0003,nulos,nulos,24,1986,6,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0004,CAMBIEMOS,agrupacion,1844,3209,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0004,FRENTE PARA LA VICTORIA,agrupacion,557,3209,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0004,blancos,blancos,58,3209,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0004,nulos,nulos,39,3209,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0005,CAMBIEMOS,agrupacion,1917,3243,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0005,FRENTE PARA LA VICTORIA,agrupacion,544,3243,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0005,blancos,blancos,41,3243,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0005,nulos,nulos,44,3243,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0006,CAMBIEMOS,agrupacion,1792,3244,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0006,FRENTE PARA LA VICTORIA,agrupacion,728,3244,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0006,blancos,blancos,58,3244,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0006,nulos,nulos,31,3244,10,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0007,CAMBIEMOS,agrupacion,4088,11880,34,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0007,FRENTE PARA LA VICTORIA,agrupacion,4198,11880,34,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0007,blancos,blancos,90,11880,34,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0007,nulos,nulos,209,11880,34,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0008,CAMBIEMOS,agrupacion,3030,7207,21,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0008,FRENTE PARA LA VICTORIA,agrupacion,2285,7207,21,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0008,blancos,blancos,105,7207,21,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0008,nulos,nulos,111,7207,21,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0009,CAMBIEMOS,agrupacion,4832,8511,25,PROVISORIO,polar_atlas_andytow,si
