anio,instancia,cargo,distrito_id,distrito,seccion_id,mesas,electores,votantes,agrupacion,lista,tipo_registro,votos,recuento_tipo,fuente,particion_comparable
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,DEL CAMPO POPULAR,,agrupacion,36,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,COALICION CIVICA ARI,,agrupacion,899,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,MOVIMIENTO DE ACCION VECINAL,,agrupacion,0,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,8563,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,ALIANZA FRENTE POPULAR,,agrupacion,5513,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,ALIANZA COMPROMISO FEDERAL,,agrupacion,2210,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,6568,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,273,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,ALIANZA PROYECTO SUR,,agrupacion,97,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,2383,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,nulos,,nulos,145,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,blancos,,blancos,707,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,1,102,34994,27395,recurridos,,recurridos,1,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,DEL CAMPO POPULAR,,agrupacion,116,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,COALICION CIVICA ARI,,agrupacion,2053,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,MOVIMIENTO DE ACCION VECINAL,,agrupacion,0,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,13999,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,ALIANZA FRENTE POPULAR,,agrupacion,11788,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,ALIANZA COMPROMISO FEDERAL,,agrupacion,4330,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,13497,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,744,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,ALIANZA PROYECTO SUR,,agrupacion,438,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,3941,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,nulos,,nulos,523,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,blancos,,blancos,1093,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,2,202,67183,52550,recurridos,,recurridos,28,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,DEL CAMPO POPULAR,,agrupacion,206,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,COALICION CIVICA ARI,,agrupacion,3416,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,MOVIMIENTO DE ACCION VECINAL,,agrupacion,14,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,34119,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,ALIANZA FRENTE POPULAR,,agrupacion,13295,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,ALIANZA COMPROMISO FEDERAL,,agrupacion,5477,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,30841,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,1050,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,ALIANZA PROYECTO SUR,,agrupacion,389,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,6889,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,nulos,,nulos,1528,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,blancos,,blancos,1779,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,3,397,129009,99162,recurridos,,recurridos,159,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,DEL CAMPO POPULAR,,agrupacion,69,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,COALICION CIVICA ARI,,agrupacion,1571,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,MOVIMIENTO DE ACCION VECINAL,,agrupacion,10,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,20779,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,ALIANZA FRENTE POPULAR,,agrupacion,6381,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,ALIANZA COMPROMISO FEDERAL,,agrupacion,3606,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,15410,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,635,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,ALIANZA PROYECTO SUR,,agrupacion,292,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,4166,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,nulos,,nulos,634,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,blancos,,blancos,846,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,4,206,69561,54995,recurridos,,recurridos,596,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,DEL CAMPO POPULAR,,agrupacion,31,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,COALICION CIVICA ARI,,agrupacion,203,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,MOVIMIENTO DE ACCION VECINAL,,agrupacion,27,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,5818,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,ALIANZA FRENTE POPULAR,,agrupacion,875,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,ALIANZA COMPROMISO FEDERAL,,agrupacion,244,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,3096,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,76,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,ALIANZA PROYECTO SUR,,agrupacion,26,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,860,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,nulos,,nulos,129,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,blancos,,blancos,184,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,5,50,15682,11569,recurridos,,recurridos,0,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,DEL CAMPO POPULAR,,agrupacion,167,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,COALICION CIVICA ARI,,agrupacion,3370,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,MOVIMIENTO DE ACCION VECINAL,,agrupacion,35,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,36882,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,ALIANZA FRENTE POPULAR,,agrupacion,17128,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,ALIANZA COMPROMISO FEDERAL,,agrupacion,14127,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,26965,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,981,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,ALIANZA PROYECTO SUR,,agrupacion,445,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,9572,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,nulos,,nulos,1060,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,blancos,,blancos,1671,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,6,446,150259,112694,recurridos,,recurridos,291,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,7,387,126957,93530,ALIANZA FRENTE POPULAR,,agrupacion,12008,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,7,387,126957,93530,ALIANZA COMPROMISO FEDERAL,,agrupacion,2061,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,7,387,126957,93530,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,18182,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,7,387,126957,93530,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,391,PROVISORIO,api_dine,no
