anio,instancia,cargo,distrito_id,distrito,agrupacion_id,agrupacion,formula,tipo_registro,votos,pct,archivo_origen
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,ELECTORES INSCRIPTOS,,inscriptos,2440284,,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,PORCENTAJE DE VOTANTES,,participacion,0.7558,,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,Alianza Frente para la Victoria,FERNÁNDEZ DE KIRCHNER - BOUDOU,agrupacion,676812,37.24,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,Alianza Frente Amplio Progresista,BINNER - MORANDINI,agrupacion,585682,32.23,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,Alianza Frente Popular,DUHALDE - DAS NEVES,agrupacion,207293,11.41,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,Alianza Unión para el Desarrollo Social,ALFONSÍN - GONZÁLEZ FRAGA,agrupacion,116807,6.43,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,Alianza Compromiso Federal,RODRÍGUEZ SAÁ - VERNET,agrupacion,97738,5.38,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,Coalición Cívica - Afirmación para una República Igualitaria,CARRIÓ - PÉREZ,agrupacion,59151,3.25,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,Alianza Frente de Izquierda y de los Trabajadores,ALTAMIRA- CASTILLO,agrupacion,23983,1.32,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,Alianza Proyecto Sur,ARGUMEDO - CARDELLI,agrupacion,12573,0.69,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,Del Campo Popular,BONACCI - VILLENA,agrupacion,3636,0.2,2011_PASO_nacional_presidente.xlsx
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,,Movimiento de Acción Vecinal,PASTORE - RODRÍGUEZ,agrupacion,1867,0.1,2011_PASO_nacional_presidente.xlsx
