anio,instancia,fecha,cargo,distrito_id,distrito,agrupacion,formula,tipo_registro,votos,pct,recuento_tipo,archivo_origen
2003,GENERAL,2003-04-27,PRESIDENTE Y VICE,21,Santa Fe,ALIANZA FRENTE POR LA LEALTAD - UNION DE CENTRO DEMOCRATICO,Menem-Romero,agrupacion,425886.0,25.26,DEFINITIVO,2003_GENERAL_DIST21_santafe_presidente.csv
2003,GENERAL,2003-04-27,PRESIDENTE Y VICE,21,Santa Fe,ALIANZA AFIRMACION PARA UNA REPUBLICA IGUALITARIA,Carrió-Gutiérrez,agrupacion,424085.0,25.16,DEFINITIVO,2003_GENERAL_DIST21_santafe_presidente.csv
2003,GENERAL,2003-04-27,PRESIDENTE Y VICE,21,Santa Fe,ALIANZA MOVIMIENTO FEDERAL PARA RECREAR EL CRECIMIENTO,López Murphy-Gómez Diez,agrupacion,292124.0,17.33,DEFINITIVO,2003_GENERAL_DIST21_santafe_presidente.csv
2003,GENERAL,2003-04-27,PRESIDENTE Y VICE,21,Santa Fe,ALIANZA FRENTE PARA LA VICTORIA,Kirchner-Scioli,agrupacion,271591.0,16.11,DEFINITIVO,2003_GENERAL_DIST21_santafe_presidente.csv
2003,GENERAL,2003-04-27,PRESIDENTE Y VICE,21,Santa Fe,ALIANZA FRENTE MOVIMIENTO POPULAR - UNION Y LIBERTAD,Rodríguez Saa-Posse,agrupacion,144154.0,8.55,DEFINITIVO,2003_GENERAL_DIST21_santafe_presidente.csv
2003,GENERAL,2003-04-27,PRESIDENTE Y VICE,21,Santa Fe,UNION CIVICA RADICAL,Moreau-Losada,agrupacion,27074.0,1.61,DEFINITIVO,2003_GENERAL_DIST21_santafe_presidente.csv
2003,GENERAL,2003-04-27,PRESIDENTE Y VICE,21,Santa Fe,SOCIALISTA,Bravo-Giustiniani,agrupacion,26894.0,1.60,DEFINITIVO,2003_GENERAL_DIST21_santafe_presidente.csv
2003,GENERAL,2003-04-27,PRESIDENTE Y VICE,21,Santa Fe,ALIANZA IZQUIERDA UNIDA,Walsh-Parrilli,agrupacion,24187.0,1.43,DEFINITIVO,2003_GENERAL_DIST21_santafe_presidente.csv
2003,GENERAL,2003-04-27,PRESIDENTE Y VICE,21,Santa Fe,OBRERO,Altamira-Salas,agrupacion,8984.0,0.53,DEFINITIVO,2003_GENERAL_DIST21_santafe_presidente.csv
2003,GENERAL,2003-04-27,PRESIDENTE Y VICE,21,Santa Fe,CONFEDERACION PARA QUE SE VAYAN TODOS,Venturino-Pinto Kramer,agrupacion,8100.0,0.48,DEFINITIVO,2003_GENERAL_DIST21_santafe_presidente.csv
