anio,instancia,fecha,cargo,distrito_id,distrito,seccion,localidad,circuito_id,agrupacion,tipo_registro,votos,recuento_tipo,fuente
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,ALBERTO J. RODRIGUEZ SAA-HECTOR M. MAYA,agrupacion,107,NO DECLARADO,xlsx_votos_por_localidad
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,CRISTINA E. FERNANDEZ DE KIRCHNER-JULIO C.C. COBOS,agrupacion,368,NO DECLARADO,xlsx_votos_por_localidad
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,ELISA M.A. CARRIO-RUBEN HECTOR GIUSTINIANI,agrupacion,228,NO DECLARADO,xlsx_votos_por_localidad
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,FERNANDO 'PINO' SOLANAS-ANGEL F. CADELLI,agrupacion,12,NO DECLARADO,xlsx_votos_por_localidad
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,GUSTAVO L. BREIDE OBEID-HECTOR R. VERGARA,agrupacion,0,NO DECLARADO,xlsx_votos_por_localidad
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,IMPUGNADO,impugnados,0,NO DECLARADO,xlsx_votos_por_localidad
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,JORGE OMAR SOBISCH-JORGE ASIS,agrupacion,13,NO DECLARADO,xlsx_votos_por_localidad
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,JOSE A. MONTES-HECTOR A. HEBERLING,agrupacion,2,NO DECLARADO,xlsx_votos_por_localidad
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,JUAN RICARDO MUSSA-BERNARDO NESPRAL,agrupacion,0,NO DECLARADO,xlsx_votos_por_localidad
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,LUIS ALBERTO AMMANN-ROGELIO DELEONARDI,agrupacion,1,NO DECLARADO,xlsx_votos_por_localidad
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,NESTOR A. PITROLA-GABRIELA A. ARROYOS,agrupacion,5,NO DECLARADO,xlsx_votos_por_localidad
