anio,instancia,agrupacion_original,agrupacion_homologada,familia,bloque
2003,GENERAL,ALIANZA AFIRMACION PARA UNA REPUBLICA IGUALITARIA,ARI / Coalicion Civica,Centro progresista no peronista,No kirchnerismo
2003,GENERAL,ALIANZA FRENTE MOVIMIENTO POPULAR - UNION Y LIBERTAD,Movimiento Popular (Rodriguez Saa),Peronismo no kirchnerista,Peronismo no kirchnerista
2003,GENERAL,ALIANZA FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo
2003,GENERAL,ALIANZA FRENTE POR LA LEALTAD - UNION DE CENTRO DEMOCRATICO,Frente por la Lealtad (Menem),Peronismo no kirchnerista,Peronismo no kirchnerista
2003,GENERAL,ALIANZA IZQUIERDA UNIDA,Izquierda Unida,Izquierda,No kirchnerismo
2003,GENERAL,ALIANZA MOVIMIENTO FEDERAL PARA RECREAR EL CRECIMIENTO,Recrear (Lopez Murphy),Centroderecha liberal,No kirchnerismo
2003,GENERAL,ALIANZA TIEMPOS DE CAMBIO - UNION POPULAR,Tiempos de Cambio,Otros,No kirchnerismo
2003,GENERAL,ALIANZA UNIDOS O DOMINADOS,Unidos o Dominados,Otros,No kirchnerismo
2003,GENERAL,CONFEDERACION PARA QUE SE VAYAN TODOS,Para que se vayan todos,Otros,No kirchnerismo
2003,GENERAL,DEMOCRATA CRISTIANO,Democrata Cristiano,Otros,No kirchnerismo
2003,GENERAL,HUMANISTA,Humanista,Otros,No kirchnerismo
2003,GENERAL,MOVIMIENTO DE INTEGRACION Y DESARROLLO,MID,Otros,No kirchnerismo
2003,GENERAL,MOVIMIENTO POR LA DIGNIDAD Y LA INDEPENDENCIA,MODIN,Derecha nacionalista,No kirchnerismo
2003,GENERAL,OBRERO,Partido Obrero,Izquierda,No kirchnerismo
2003,GENERAL,POPULAR DE LA RECONSTRUCCION,Popular de la Reconstruccion,Derecha nacionalista,No kirchnerismo
2003,GENERAL,SOCIALISTA,Socialismo,Socialismo y progresismo santafesino,No kirchnerismo
2003,GENERAL,SOCIALISTA AUTENTICO,Socialista Autentico,Izquierda,No kirchnerismo
2003,GENERAL,UNION CIVICA RADICAL,Union Civica Radical,Union Civica Radical,No kirchnerismo
2007,GENERAL,ALBERTO J. RODRIGUEZ SAA-HECTOR M. MAYA,Movimiento Popular (Rodriguez Saa),Peronismo no kirchnerista,Peronismo no kirchnerista
2007,GENERAL,CRISTINA E. FERNANDEZ DE KIRCHNER-JULIO C.C. COBOS,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo
2007,GENERAL,ELISA M.A. CARRIO-RUBEN HECTOR GIUSTINIANI,ARI / Coalicion Civica,Centro progresista no peronista,No kirchnerismo
2007,GENERAL,FERNANDO 'PINO' SOLANAS-ANGEL F. CADELLI,Proyecto Sur,Centroizquierda no peronista,No kirchnerismo
2007,GENERAL,GUSTAVO L. BREIDE OBEID-HECTOR R. VERGARA,Popular de la Reconstruccion,Derecha nacionalista,No kirchnerismo
2007,GENERAL,JORGE OMAR SOBISCH-JORGE ASIS,Sobisch,Centroderecha liberal,No kirchnerismo
2007,GENERAL,JOSE A. MONTES-HECTOR A. HEBERLING,Izquierda Socialista,Izquierda,No kirchnerismo
2007,GENERAL,JUAN RICARDO MUSSA-BERNARDO NESPRAL,Mussa,Otros,No kirchnerismo
2007,GENERAL,LUIS ALBERTO AMMANN-ROGELIO DELEONARDI,Humanista,Otros,No kirchnerismo
2007,GENERAL,NESTOR A. PITROLA-GABRIELA A. ARROYOS,Partido Obrero,Izquierda,No kirchnerismo
2007,GENERAL,RAUL ANIBAL CASTELLS-'NINA' PELOZO,Castells,Izquierda,No kirchnerismo
2007,GENERAL,RICARDO LOPEZ MURPHY-ESTEBAN BULLRICH,Recrear (Lopez Murphy),Centroderecha liberal,No kirchnerismo
2007,GENERAL,ROBERTO LAVAGNA-GERARDO R. MORALES,Concertacion (Lavagna),Peronismo no kirchnerista,Peronismo no kirchnerista
2007,GENERAL,VILMA RIPOLL-HECTOR BIDONDE,MST,Izquierda,No kirchnerismo
2011,PASO,ALIANZA COMPROMISO FEDERAL,Compromiso Federal (Rodriguez Saa),Peronismo no kirchnerista,Peronismo no kirchnerista
2011,PASO,ALIANZA FRENTE AMPLIO PROGRESISTA,Frente Amplio Progresista,Socialismo y progresismo santafesino,No kirchnerismo
2011,PASO,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,Frente de Izquierda,Izquierda,No kirchnerismo
2011,PASO,ALIANZA FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo
2011,PASO,ALIANZA FRENTE POPULAR,Frente Popular (Duhalde),Peronismo no kirchnerista,Peronismo no kirchnerista
2011,PASO,ALIANZA PROYECTO SUR,Proyecto Sur,Centroizquierda no peronista,No kirchnerismo
2011,PASO,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,UDESO (Alfonsin),Union Civica Radical,No kirchnerismo
2011,PASO,Alianza Compromiso Federal,Compromiso Federal (Rodriguez Saa),Peronismo no kirchnerista,Peronismo no kirchnerista
2011,PASO,Alianza Frente Amplio Progresista,Frente Amplio Progresista,Socialismo y progresismo santafesino,No kirchnerismo
2011,PASO,Alianza Frente Popular,Frente Popular (Duhalde),Peronismo no kirchnerista,Peronismo no kirchnerista
2011,PASO,Alianza Frente de Izquierda y de los Trabajadores,Frente de Izquierda,Izquierda,No kirchnerismo
2011,PASO,Alianza Frente para la Victoria,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo
2011,PASO,Alianza Proyecto Sur,Proyecto Sur,Centroizquierda no peronista,No kirchnerismo
2011,PASO,Alianza Unión para el Desarrollo Social,UDESO (Alfonsin),Union Civica Radical,No kirchnerismo
2011,PASO,COALICION CIVICA ARI,ARI / Coalicion Civica,Centro progresista no peronista,No kirchnerismo
2011,PASO,Coalición Cívica - Afirmación para una República Igualitaria,ARI / Coalicion Civica,Centro progresista no peronista,No kirchnerismo
2011,PASO,DEL CAMPO POPULAR,Del Campo Popular,Otros,No kirchnerismo
2011,PASO,Del Campo Popular,Del Campo Popular,Otros,No kirchnerismo
2011,PASO,MOVIMIENTO DE ACCION VECINAL,Movimiento de Accion Vecinal,Otros,No kirchnerismo
2011,PASO,Movimiento de Acción Vecinal,Movimiento de Accion Vecinal,Otros,No kirchnerismo
2011,GENERAL,Alianza Compromiso Federal,Compromiso Federal (Rodriguez Saa),Peronismo no kirchnerista,Peronismo no kirchnerista
2011,GENERAL,Alianza Frente Amplio Progresista,Frente Amplio Progresista,Socialismo y progresismo santafesino,No kirchnerismo
2011,GENERAL,Alianza Frente Popular,Frente Popular (Duhalde),Peronismo no kirchnerista,Peronismo no kirchnerista
2011,GENERAL,Alianza Frente de Izquierda y de los Trabajadores,Frente de Izquierda,Izquierda,No kirchnerismo
2011,GENERAL,Alianza Frente para la Victoria,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo
2011,GENERAL,Alianza Unión para el Desarrollo Social,UDESO (Alfonsin),Union Civica Radical,No kirchnerismo
2011,GENERAL,Coalición Cívica - Afirmación para una República Igualitaria ARI,ARI / Coalicion Civica,Centro progresista no peronista,No kirchnerismo
2015,PASO,ALIANZA CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo
2015,PASO,ALIANZA COMPROMISO FEDERAL,Compromiso Federal (Rodriguez Saa),Peronismo no kirchnerista,Peronismo no kirchnerista
2015,PASO,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,Frente de Izquierda,Izquierda,No kirchnerismo
2015,PASO,ALIANZA FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo
2015,PASO,ALIANZA FRENTE POPULAR,Frente Popular (Duhalde),Peronismo no kirchnerista,Peronismo no kirchnerista
2015,PASO,ALIANZA PROGRESISTAS,Progresistas (Stolbizer),Socialismo y progresismo santafesino,No kirchnerismo
2015,PASO,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),UNA (Massa - De la Sota),Peronismo no kirchnerista,Peronismo no kirchnerista
2015,PASO,MOVIMIENTO AL SOCIALISMO,MAS,Izquierda,No kirchnerismo
2015,PASO,MOVIMIENTO DE ACCION VECINAL,Movimiento de Accion Vecinal,Otros,No kirchnerismo
2015,PASO,MOVIMIENTO DE ACCIÓN VECINAL,Movimiento de Accion Vecinal,Otros,No kirchnerismo
2015,PASO,MST - NUEVA IZQUIERDA,MST,Izquierda,No kirchnerismo
2015,PASO,PARTIDO POPULAR,Partido Popular,Otros,No kirchnerismo
2015,GENERAL,ALIANZA CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo
2015,GENERAL,ALIANZA COMPROMISO FEDERAL,Compromiso Federal (Rodriguez Saa),Peronismo no kirchnerista,Peronismo no kirchnerista
2015,GENERAL,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,Frente de Izquierda,Izquierda,No kirchnerismo
2015,GENERAL,ALIANZA FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo
2015,GENERAL,ALIANZA PROGRESISTAS,Progresistas (Stolbizer),Socialismo y progresismo santafesino,No kirchnerismo
2015,GENERAL,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),UNA (Massa - De la Sota),Peronismo no kirchnerista,Peronismo no kirchnerista
2015,BALOTAJE,ALIANZA CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo
2015,BALOTAJE,ALIANZA FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo
2015,BALOTAJE,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo
2015,BALOTAJE,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo
2019,PASO,CONSENSO FEDERAL,Consenso Federal (Lavagna),Peronismo no kirchnerista,Peronismo no kirchnerista
2019,PASO,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,Frente de Izquierda,Izquierda,No kirchnerismo
2019,PASO,FRENTE DE TODOS,Frente de Todos / Union por la Patria,Peronismo kirchnerista,Kirchnerismo
2019,PASO,FRENTE NOS,Frente NOS (Gomez Centurion),Derecha nacionalista,No kirchnerismo
